order_id,order_uri,person_id,account_id,merchant_id,orderNumber,orderStatus,orderDate,orderTotal
person_1_account_1_order_1,http://example.org/person_1_account_1_order_1,person_1,person_1_account_1,org_5,ORD-287657,OrderProblem,2025-07-30,214.89
person_1_account_1_order_2,http://example.org/person_1_account_1_order_2,person_1,person_1_account_1,org_1,INV-291989,OrderPickupAvailable,2025-06-25,821.27
person_1_account_1_order_3,http://example.org/person_1_account_1_order_3,person_1,person_1_account_1,org_3,INV-630126,OrderProcessing,2025-06-05,2274.14
person_2_account_1_order_1,http://example.org/person_2_account_1_order_1,person_2,person_2_account_1,org_2,PO-596369,OrderPickupAvailable,2025-10-08,1682.47
person_3_account_1_order_1,http://example.org/person_3_account_1_order_1,person_3,person_3_account_1,org_2,PO-923004,OrderInTransit,2025-09-01,636.32
person_3_account_1_order_2,http://example.org/person_3_account_1_order_2,person_3,person_3_account_1,org_3,ORD-985961,OrderCancelled,2025-07-28,1369.44
person_3_account_1_order_3,http://example.org/person_3_account_1_order_3,person_3,person_3_account_1,org_1,INV-840759,OrderCancelled,2025-12-11,2254.6
person_4_account_1_order_1,http://example.org/person_4_account_1_order_1,person_4,person_4_account_1,org_4,ORD-577175,OrderDelivered,2025-11-16,370.5
person_4_account_1_order_2,http://example.org/person_4_account_1_order_2,person_4,person_4_account_1,org_3,ORD-335089,OrderInTransit,2025-11-12,384.93
person_5_account_1_order_1,http://example.org/person_5_account_1_order_1,person_5,person_5_account_1,org_3,PO-797249,OrderProblem,2025-10-30,1534.79
person_5_account_1_order_2,http://example.org/person_5_account_1_order_2,person_5,person_5_account_1,org_1,PO-230652,OrderCancelled,2025-09-12,2258.8
person_6_account_1_order_1,http://example.org/person_6_account_1_order_1,person_6,person_6_account_1,org_1,INV-947447,OrderProcessing,2025-07-14,2316.56
person_6_account_2_order_1,http://example.org/person_6_account_2_order_1,person_6,person_6_account_2,org_5,INV-784874,OrderReturned,2025-05-11,1296.52
person_7_account_1_order_1,http://example.org/person_7_account_1_order_1,person_7,person_7_account_1,org_3,INV-403380,OrderProcessing,2025-11-10,2266.99
person_7_account_1_order_2,http://example.org/person_7_account_1_order_2,person_7,person_7_account_1,org_4,INV-823869,OrderProcessing,2025-07-17,594.5
person_7_account_1_order_3,http://example.org/person_7_account_1_order_3,person_7,person_7_account_1,org_4,PO-674492,OrderReturned,2025-12-01,927.94
person_8_account_1_order_1,http://example.org/person_8_account_1_order_1,person_8,person_8_account_1,org_1,ORD-591165,OrderPickupAvailable,2025-12-06,2417.21
person_8_account_1_order_2,http://example.org/person_8_account_1_order_2,person_8,person_8_account_1,org_4,INV-632185,OrderProblem,2025-07-12,284.41
person_9_account_1_order_1,http://example.org/person_9_account_1_order_1,person_9,person_9_account_1,org_2,INV-289431,OrderDelivered,2025-09-03,399.22
person_9_account_1_order_2,http://example.org/person_9_account_1_order_2,person_9,person_9_account_1,org_5,INV-240844,OrderPickupAvailable,2025-10-06,1746.43
person_9_account_2_order_1,http://example.org/person_9_account_2_order_1,person_9,person_9_account_2,org_2,PO-367385,OrderProblem,2025-12-09,2402.65
person_9_account_2_order_2,http://example.org/person_9_account_2_order_2,person_9,person_9_account_2,org_2,PO-713313,OrderReturned,2025-11-27,1952.66
person_9_account_2_order_3,http://example.org/person_9_account_2_order_3,person_9,person_9_account_2,org_1,PO-752232,OrderReturned,2025-01-31,964.03
person_10_account_1_order_1,http://example.org/person_10_account_1_order_1,person_10,person_10_account_1,org_5,PO-142148,OrderPickupAvailable,2025-12-18,580.05
person_10_account_1_order_2,http://example.org/person_10_account_1_order_2,person_10,person_10_account_1,org_4,PO-289265,OrderReturned,2025-05-18,1366.38
person_10_account_2_order_1,http://example.org/person_10_account_2_order_1,person_10,person_10_account_2,org_3,PO-292931,OrderDelivered,2025-09-20,563.97
person_10_account_2_order_2,http://example.org/person_10_account_2_order_2,person_10,person_10_account_2,org_5,ORD-694914,OrderDelivered,2025-10-23,705.78
